N_dw,N_v,N_c,N_iw,N_s,F,IF_rc,IF_vb,IF_ve,IF_vc,PS,IF_p,IF_w,Date,Word,Number of reported results,Number in hard mode,R_h,R_t1,R_t2,R_t3,R_t4,R_t5,R_t6,R_tx,ATN,cluster_2,cluster_3,cluster_4,difficulty_mean_2,L_d,difficulty_freq_4
0,0.333333333,0.666666667,0,0,0,0,0,0,0,NN,1,1,2022/7/28,stomp,40650,3490,0.085854859,0,7,26,32,21,11,2,4.11,2,2,4,easy,normal,normal
0,0.333333333,0.666666667,0,0.5,0.056084978,0,0,0,0,NN,1,1,2022/5/2,story,95643,6530,0.06827473,1,10,23,29,24,11,2,4.12,2,2,4,easy,normal,normal
0,0.666666667,0.333333333,0,0,0.005490974,0,0,1,0,NN,1,1,2022/3/30,stove,158139,9318,0.058922846,0,5,16,24,27,21,6,4.75,1,1,2,hard,normal,hard+
0,0.666666667,0.333333333,0,0.5,0.012471747,0,0,0,0,NN,1,1,2022/1/25,sugar,276404,8708,0.031504609,1,6,25,34,23,9,1,4.03,2,2,1,easy,normal,normal
0.5,0.666666667,0.333333333,0,0,0.02528402,1,0,0,1,NN,1,1,2022/3/8,sweet,207473,9767,0.047076005,1,5,18,31,28,15,2,4.39,2,1,4,hard,normal,hard
0.5,0.333333333,0.666666667,0,0,0,1,0,0,0,NN,1,0,2022/2/19,swill,282327,11241,0.039815533,1,1,8,19,31,30,10,5.38,1,3,2,hard,hard,hard+
0.5,0.666666667,0.333333333,0,0.5,0.00073213,0,0,0,0,NN,0,0,2022/2/20,tacit,273306,11094,0.040591864,1,4,21,32,26,14,3,4.44,1,1,4,hard,normal,hard
0,0.333333333,0.666666667,0,0.5,0.000366491,0,0,0,0,NN,0,1,2022/1/14,tangy,169484,3985,0.023512544,1,4,21,30,24,15,5,4.52,1,1,4,hard,normal,hard+
0,0.666666667,0.333333333,0,0.5,0.001098195,0,0,0,0,NN,1,0,2022/12/18,taper,22166,2108,0.095100605,0,8,28,30,20,11,3,4.16,2,1,4,easy,normal,normal
0.5,0.666666667,0.333333333,0,0,0.00146426,0,0,0,1,NN,1,1,2022/9/6,taunt,32734,3022,0.092319912,0,4,19,27,21,16,13,5.04,1,3,2,hard,hard,hard+
0.5,1,0,0,0,0.002200646,0,0,1,1,NN,1,1,2022/3/15,tease,202855,10024,0.049414606,1,16,32,30,16,6,1,3.75,2,2,1,easy,easy,easy
0,0.666666667,0.333333333,0,0.5,0.000366491,0,0,0,0,NN,1,1,2022/11/28,tepid,26051,2484,0.095351426,0,10,38,35,13,3,0,3.57,2,2,1,easy,easy,easy
0,0.666666667,0.333333333,0,0,0.978372373,0,0,0,1,PRP$,0,1,2022/3/21,their,173636,9200,0.052984404,2,14,36,30,13,4,0,3.47,2,2,1,easy,easy,easy
0.5,0.666666667,0.333333333,0,0,0.020176137,0,0,1,0,NN,1,1,2022/9/9,theme,32172,2909,0.090420241,0,8,29,40,18,4,0,3.77,2,2,1,easy,easy,easy
0.5,0.666666667,0.333333333,0,0,1,0,0,1,0,RB,1,1,2022/11/17,there,27465,2530,0.09211724,0,14,35,33,14,4,0,3.59,2,2,1,easy,easy,easy
0,0.333333333,0.666666667,0,0,0.069648109,0,0,0,0,JJ,1,1,2022/12/20,third,24137,2261,0.093673613,1,10,47,32,9,2,0,3.47,2,2,1,easy,easy,easy
0,0.333333333,0.666666667,0,0,0.001098195,0,0,0,0,NN,1,1,2022/2/22,thorn,306356,11814,0.038562979,1,14,38,30,12,4,0,3.47,2,2,1,easy,easy,easy
0,0.666666667,0.333333333,0,0,0.311583401,0,0,1,0,DT,0,1,2022/2/1,those,351663,13606,0.038690451,1,13,34,30,15,6,1,3.7,2,2,1,easy,easy,easy
0,0.333333333,0.666666667,0,0,0,0,0,1,0,NN,1,1,2022/9/14,thyme,32142,2938,0.091406882,1,5,24,41,23,5,0,3.92,2,2,1,easy,normal,easy
0.5,1,0,0,1,0,0,0,1,1,NN,0,1,2022/5/27,tiara,63846,4842,0.075838737,0,8,36,33,17,6,1,3.87,2,2,1,easy,normal,easy
0.5,1,0,0,1,0,0,0,1,1,NN,0,0,2022/9/11,tibia,27887,2675,0.095922831,0,1,14,40,30,12,2,4.46,1,1,4,hard,normal,hard
0,0.333333333,0.666666667,0,0.5,0.00073213,0,0,0,0,NN,1,1,2022/5/13,tipsy,77585,5522,0.071173552,0,6,33,38,17,5,1,3.88,2,2,1,easy,normal,easy
0,0.666666667,0.333333333,0,0.5,0.104105461,0,0,0,0,NN,1,0,2022/3/12,today,192049,9353,0.048701113,1,7,29,35,20,7,1,3.94,2,2,1,easy,normal,easy
0.5,0.666666667,0.333333333,0,0.5,0.002566711,0,0,1,0,NN,0,0,2022/12/3,torso,23873,2260,0.094667616,0,4,35,36,17,6,1,3.88,2,2,1,easy,normal,easy
0,0.666666667,0.333333333,0,0,0.030051377,0,0,0,1,NN,1,1,2022/5/4,train,107750,7243,0.067220418,6,26,32,22,10,3,0,3.1,2,2,1,easy,easy,easy
0.5,0.666666667,0.333333333,0,0,0.001098195,0,0,0,1,NN,0,1,2022/6/8,trait,61026,4607,0.075492413,0,6,22,35,24,11,2,4.24,2,1,4,easy,normal,hard
0.5,0.666666667,0.333333333,0,0,0.009534714,0,0,0,1,NN,1,0,2022/8/20,treat,38245,3249,0.084952281,1,22,32,26,14,5,1,3.55,2,2,1,easy,easy,easy
0,0.666666667,0.333333333,0,0,0,0,0,1,0,NN,1,1,2022/9/19,trice,35050,3430,0.0978602,0,5,24,25,18,17,11,4.84,1,3,2,hard,hard,hard+
0.5,0.666666667,0.333333333,0,0,0.00073213,0,0,1,0,NN,0,1,2022/7/20,trite,42237,3685,0.08724578,0,4,14,22,22,23,15,5.36,1,3,2,hard,hard,hard+
0,0.666666667,0.333333333,0,0,0,0,0,1,0,NN,0,0,2022/4/2,trope,155079,9315,0.06006616,1,16,33,28,15,6,1,3.65,2,2,1,easy,easy,easy
0,0.666666667,0.333333333,0,0,0,0,0,1,0,NN,0,1,2022/2/23,trove,277576,11411,0.041109462,1,5,16,24,25,22,8,4.92,1,3,2,hard,hard,hard+
0.5,0,1,0,0,0,0,0,0,0,NN,1,1,2022/7/22,tryst,43099,3665,0.085036776,0,3,26,41,23,6,1,4.09,2,2,1,easy,normal,normal
0,0.333333333,0.666666667,0,0,0,0,0,0,0,NN,1,1,2022/8/18,twang,34938,3172,0.090789398,0,3,22,43,25,7,1,4.21,2,1,4,easy,normal,hard
0,0.666666667,0.333333333,0,0,0.027114344,0,0,1,0,RB,1,1,2022/8/17,twice,35815,3173,0.088594164,1,6,28,38,21,6,1,4,2,2,1,easy,normal,normal
0,0.666666667,0.333333333,0,0,0,0,0,1,0,NN,1,0,2022/10/2,twine,30088,2775,0.09222946,0,6,28,40,20,5,1,3.96,2,2,1,easy,normal,easy
0,0.666666667,0.333333333,0,0.5,0.001834581,0,1,0,0,NN,0,1,2022/2/11,ulcer,278826,10631,0.038127721,1,4,18,30,28,16,3,4.49,1,1,4,hard,normal,hard
0,0.666666667,0.333333333,0,0.5,0,0,1,1,0,JJ,0,0,2022/2/12,ultra,269885,9310,0.034496174,1,7,23,34,24,10,1,4.1,2,2,1,easy,normal,normal
0.5,1,0,0,0.5,0.004767357,0,1,1,1,JJ,1,1,2022/11/29,undue,23739,2316,0.097560976,0,3,19,35,29,13,2,4.46,1,1,4,hard,normal,hard
0,0.666666667,0.333333333,0,0.5,0.000366491,0,1,0,0,NN,1,1,2022/8/8,unfit,35516,3187,0.089734204,0,3,24,38,25,9,1,4.19,2,1,4,easy,normal,normal
0,1,0,0,0.5,0.003664906,0,1,1,0,JJ,1,1,2022/11/10,unite,27467,2575,0.093748862,1,11,31,33,18,5,1,3.78,2,2,1,easy,easy,easy
0,0.666666667,0.333333333,0,0.5,0.005150448,0,1,0,0,NN,1,1,2022/7/29,upset,37791,3213,0.085020243,0,5,30,38,20,6,1,3.98,2,2,1,easy,normal,normal
0.5,1,0,0,1,0.035201825,0,1,0,1,JJ,1,1,2022/12/14,usual,20824,2048,0.09834806,0,3,20,39,27,10,1,4.27,2,1,4,easy,normal,hard
0.5,0.666666667,0.333333333,0,0.5,0.000366491,0,1,0,0,NN,1,1,2022/9/28,usurp,31355,3007,0.09590177,0,3,21,38,26,9,1,4.15,2,1,4,easy,normal,normal
0,0.666666667,0.333333333,0,0.5,0.00073213,0,0,0,0,NN,1,0,2022/11/12,valet,24660,2356,0.095539335,0,4,22,38,25,9,1,4.15,2,1,4,easy,normal,normal
0,0.666666667,0.333333333,0,0.5,0.008044915,0,0,0,0,JJ,1,1,2022/10/11,valid,28575,2752,0.096307962,0,4,28,38,21,8,1,4.07,2,2,1,easy,normal,normal
0,0.666666667,0.333333333,0,0.5,0.005150448,0,0,0,0,NN,1,0,2022/10/8,vigor,26905,2642,0.098197361,0,2,15,35,31,14,2,4.48,1,1,4,hard,normal,hard
0.5,0.666666667,0.333333333,0,0.5,0.009151623,0,0,0,0,NN,1,1,2022/2/25,vivid,255907,11687,0.045668934,1,2,10,29,33,21,4,4.82,1,3,2,hard,hard,hard+
0,1,0,0,0,0.08284475,0,0,1,1,NN,1,1,2022/7/8,voice,42806,3484,0.081390459,1,5,24,35,25,9,1,4.12,2,2,4,easy,normal,normal
0,0.666666667,0.333333333,0,0,0,0,0,0,1,JJ,1,1,2022/5/25,vouch,62723,4835,0.077084961,0,2,9,25,33,24,6,5,1,3,2,hard,hard,hard+
0,0.333333333,0.666666667,0,0.5,0.000366491,0,0,0,0,NN,1,0,2022/7/17,wacky,39611,3345,0.08444624,0,3,18,39,27,10,2,4.31,2,1,4,hard,normal,hard
0,0.333333333,0.666666667,1,0,0.000366491,0,0,0,0,NN,1,0,2022/10/30,waltz,24672,2496,0.101167315,0,2,11,29,35,19,3,4.72,1,1,2,hard,normal,hard+
0,0.666666667,0.333333333,0,0,0.012812273,0,0,1,0,NN,1,0,2022/8/21,waste,35617,3186,0.089451666,1,7,19,27,24,17,5,4.52,1,1,4,hard,normal,hard+
0,0.333333333,0.666666667,0,0,0.029710851,0,0,0,0,NN,1,1,2022/3/11,watch,226349,12400,0.054782659,1,6,14,18,17,24,20,5.56,1,3,3,hard,hard,hard+
0.5,0.666666667,0.333333333,0,0,0.00146426,0,0,1,0,NN,1,1,2022/7/15,wedge,39234,3353,0.085461589,0,2,11,32,37,17,2,4.72,1,1,2,hard,normal,hard+
0,0.333333333,0.666666667,0,0,0.000366491,0,0,0,0,NN,1,1,2022/1/26,whack,302348,10163,0.033613584,1,4,22,37,24,10,2,4.23,2,1,4,easy,normal,hard
0.5,0.666666667,0.333333333,0,0,0.000366491,1,0,0,1,NN,1,0,2022/9/5,whoop,32733,2970,0.090734122,0,1,16,47,29,7,1,4.35,2,1,4,hard,normal,hard
0,0.666666667,0.333333333,0,0,0,0,0,1,0,NN,1,0,2022/1/22,wince,241489,6850,0.028365681,1,3,17,33,29,15,3,4.55,1,1,4,hard,normal,hard+
0,0.666666667,0.333333333,0,0.5,0,0,0,0,0,NN,1,1,2022/12/5,woken,23153,2200,0.095020084,0,2,10,25,36,23,4,4.92,1,3,2,hard,hard,hard+
0,0.666666667,0.333333333,0,0.5,0.003298841,0,0,0,0,RB,1,1,2022/8/23,woven,33549,2933,0.087424364,0,2,13,32,32,17,3,4.63,1,1,4,hard,normal,hard+
0,0.333333333,0.666666667,0,0,0,0,0,0,0,NN,1,0,2022/1/30,wrung,294687,11524,0.039105899,0,2,18,39,27,12,2,4.41,2,1,4,hard,normal,hard
0,0.666666667,0.333333333,0,0,0.012812273,0,0,0,1,NN,1,0,2022/5/15,yield,67115,4963,0.073947702,0,4,16,29,29,18,4,4.65,1,1,2,hard,normal,hard+
0,0.666666667,0.333333333,0,0,0.030051377,0,0,0,1,NN,1,1,2022/8/3,youth,38381,3327,0.086683515,1,5,17,31,29,15,3,4.51,1,1,4,hard,normal,hard
0,0.333333333,0.666666667,1,0.5,0,0,0,0,0,NN,1,1,2022/4/28,zesty,88974,6315,0.070975791,0,2,12,27,30,22,7,5,1,3,2,hard,hard,hard+
